 	Sigma1	Sigma2	Distance	Sigma
1	2.43	3.15	21.49	3.978366499
2	2.4	3.92	8.17	4.596346375
3	3.06	3.49	8.28	4.641519148
4	1.95	3.25	15.93	3.790118732
5	2.22	3.8	11.64	4.400954442
6	2.25	4.46	14.33	4.995407891
7	3.5	2.45	9.19	4.272294466
8	4.02	3.4	12.34	5.265016619
9	3.1	1.94	2.82	3.656993301
10	2.82	3.92	15.69	4.828954338
11	3.55	3.08	16.05	4.699882977
12	1.27	2.13	15.53	2.479879029
13	1.34	1.84	18.58	2.276224945
14	1.6	1.56	10.19	2.234636436
15	1.77	2.07	9.31	2.723563842
16	2.29	2.12	9.89	3.120656982
17	2.28	2.08	12.37	3.086227471
18	2.12	2.01	25.14	2.921386657
19	3.2	2.11	23.77	3.833027524
20	3.18	1.73	11.82	3.620124307
21	2.73	1.52	5.78	3.124627978
22	2.38	1.8	7.46	2.984024129
23	3.04	1.88	11.94	3.574353088
24	2.82	1.38	4.92	3.139554108
25	2.57	2.01	11.68	3.26266762
26	2.28	1.87	8.92	2.948779409
27	2.83	1.98	15.18	3.453881874
28	3.55	1.71	15.02	3.940380692
29	3	2.03	9.75	3.622278289
30	1.39	1.98	6.57	2.419194081
31	1.51	1.25	13.39	1.960255085
32	1.61	1.77	8.83	2.392697223
33	1.69	1.55	10.05	2.293163753
34	2	2.04	9.06	2.856851414
35	1.74	1.82	1.33	2.517935662
36	2.05	1.82	10.21	2.741331793
37	1.58	2.27	28.34	2.765736792
38	1.7	2.37	28.67	2.916659048
39	0.71	0.53	5.36	0.886002257
40	0.83	0.56	6.74	1.00124922
41	0.92	0.61	7.17	1.103856875
42	0.82	0.57	24.83	0.998649088
43	0.82	0.57	2.87	0.998649088
44	0.86	0.62	8.88	1.060188662
45	0.86	0.65	8.57	1.078007421
46	1	0.65	8.14	1.192686044
47	0.94	0.67	11.37	1.154339638
48	0.81	0.66	11.8	1.044844486
49	1.27	0.65	7.95	1.426674455
50	1.48	0.66	3.68	1.620493752
51	1.55	0.66	20.01	1.684666139
52	0.85	0.56	2.39	1.017889974
53	0.82	0.57	2.87	0.998649088
54	0.86	0.62	8.88	1.060188662
55	0.86	0.65	8.57	1.078007421
56	1	0.65	8.14	1.192686044
57	0.94	0.67	11.37	1.154339638
58	0.81	0.66	11.8	1.044844486
59	1.27	0.65	7.95	1.426674455
60	1.48	0.66	3.68	1.620493752
61	1.55	0.66	20.01	1.684666139
62	0.88	0.66	10.61	1.1
63	1.09	0.64	6.13	1.264001582
64	1.41	0.66	16.39	1.556823689
65	1.27	0.65	7.95	1.426674455
66	1.48	0.66	3.68	1.620493752
67	1.55	0.66	20.01	1.684666139
68	1.14	0.68	9.88	1.32740348
69	1.12	0.67	21.02	1.30510536
70	1.09	0.64	6.13	1.264001582
71	1.41	0.66	16.39	1.556823689
72	1.27	0.65	7.95	1.426674455
73	1.48	0.66	3.68	1.620493752
74	1.55	0.66	20.01	1.684666139
75	4.14	1.27	6.68	4.330415684
76	2.87	1.57	8.7	3.271360573
77	3.52	1.43	12.95	3.799381529
78	3.79	1.94	9.06	4.257663679
79	3.91	2.08	17.03	4.42882603
80	3.65	2.17	23.79	4.2463396
81	3.12	2	9.44	3.705995143
82	3.2	1.88	18.88	3.711387881
83	2.44	3.57	18.46	4.324176222
84	3.86	1.33	16.85	4.082707435
